id,text
ax4INkzwL__-d_kGJfcA-w,"Food: 10/5
Service: 15/5

The moment you walk into Kaikagetsu you are greeted by the two most friendliest wait staff. Hide-San was our server and I wouldn't..."
ax4INkzwL__-d_kGJfcA-w,Went there for a birthday dinner. Overall experience was good. Decor was very elegant. Atmosphere was very quiet in the beginning and then turned louder...
ax4INkzwL__-d_kGJfcA-w,Absolutely loved my visit here with my family! We got one of the tasting menus and it was phenomenal. The ambiance was so peaceful and the service was...
axqp3pGJXnTLgq2QrPyDyQ,"Phenomenal food here. Everything we ordered was rich with flavor. All the dishes are well portioned - the small plates (tapas) and the rice bowls. 

Here's..."
axqp3pGJXnTLgq2QrPyDyQ,"My boyfriend and I came here for lunch, which is when they serve their donburis with an extra salad, pickles and sweet beans (in comparison to alone at..."
axqp3pGJXnTLgq2QrPyDyQ,"Meandered in last Friday for dinner at 8pm, and met with a packed house. The hostess estimated a 30-40 minute wait (no reservations here!) so I left my..."
FlZ1zdVEKWv7dwqm8Uw8-w,"The first time I came to Raku, it was in the summer and while I liked it a lot, I wasn't head over heels in love. I came back recently in the winter and a..."
FlZ1zdVEKWv7dwqm8Uw8-w,"Bathroom 4; Food 5

Bathroom is really cozy and the ambience is amazing. The trash can really caught my eye since it was very cute. The only reason why it..."
FlZ1zdVEKWv7dwqm8Uw8-w,I loved this place! Very minimalistic decor and zen atmosphere. It's a pretty small space but that gives it a cozy feel. The servers were attentive and...
qm1J_dPA5IHij1oAnoZwHw,Yelp's wailist made my reservation went so smooth and hassle-free! I depended on Yelp's estimation to join the wailist an hour before I got to the...
qm1J_dPA5IHij1oAnoZwHw,Went here for a quick bite. They have small plates so it'a not a bad 1st dinner when you plan on having multiple. Joined the waitlist and skipped the line...
qm1J_dPA5IHij1oAnoZwHw,"I had this place in my bookmarks and finally decided to go here for a casual dinner date.  But I can't say for sure if nonono is my yesyesyes.

When we..."
BPZfuPvSxCfoppU4lPFm0Q,Went there twice and both times it did not disappoint. We had a domokase the first time and it was amusing to see all the different couples and the way the...
