id,text
As3wfdwjo9nyFywX7Ov3Mg,"Japanese curry is one of those Japanese-Western ""Yoshoku"" dishes that everyone loves, but it's too often associated with the instant rouxs and ready-to-heat..."
As3wfdwjo9nyFywX7Ov3Mg,"I stopped by on my lunch break. There's no phone number I could find, so I could not place an order in advance. They do have a vegan option but it costs..."
As3wfdwjo9nyFywX7Ov3Mg,"3.5!

I was planning dinner with my friends and we decided to go here because the pictures looked really good! This is a causal place where you order at the..."
HHtpR0RslupSQ99GIIwW5A,"My Points Index {100}:

Noodles 35%
Broth 30%
Authenticity 10%
Price 10%
Service 5%
Ambient 5%
Cleanliness 5%


Noodles 5/5
Broth 5/5
Authenticity 5/5
Price..."
HHtpR0RslupSQ99GIIwW5A,This place is so popular that the line starts even on a weekday so be observant on the wait time on yelp! They try to rotate quickly though by timely...
HHtpR0RslupSQ99GIIwW5A,"Well, the reviews about this place were right! Excellent ramen, service and ambiance. 

First, we added ourselves on the ""yelp waitlists"" which made 1.5..."
cL0q9S4bqwpbAN9ZKh-Zeg,"This place is such a GEM!!! Tastes as good as it looks. Worth every penny! 

We ordered:
* Pork belly $11 (5/5) Didn't see this on the menu, but I asked and..."
cL0q9S4bqwpbAN9ZKh-Zeg,"Nice ambience and mediocre food. Very good service.
Miso soup was ok, oysters didn't taste fresh, tempura mushroom was dry and over-battered, cube steak..."
cL0q9S4bqwpbAN9ZKh-Zeg,"Came here with 2 friends for happy hour on a Saturday evening, it took us around 30 minutes to get seated, which was not bad at all. I appreciated the..."
CGhIrUZW4MVprvgqhI222w,"Super fresh fish, happy and helpful smiles!  This place is a great addition to the neighborhood!  They are very accommodating to my vegetarian wife by..."
CGhIrUZW4MVprvgqhI222w,Excellent sushi and great service. Definitely recommend and will be back. Miso soup was also particularly good.
CGhIrUZW4MVprvgqhI222w,"Definitely skimping out on a lot of the ingredients for the meal. I ordered a lion king role ($14) and it was super small, then I ordered another spicy tuna..."
U0GqpXzcIDlad7vQHbB63Q,"For the bf's birthday, I wanted to treat him to great food. Lo and behold, I found out that night that Kusakabe was his first omakase experience and I'm SO..."
U0GqpXzcIDlad7vQHbB63Q,"I've been talking about coming to Kusakabe since 2019 rolled around, and sure enough, I celebrated my 28th birthday here this year.

We had reservations..."
U0GqpXzcIDlad7vQHbB63Q,"Impeccable!   The moment you arrive, you will be transformed.   From the service to the omakase. Perfection.   

Since this was our first time, we ordered..."
9t3DWuROXOrvioDxG9R59A,"One of my favorite sushi spots in SF! It's low-key and serves amazing, fresh sushi. My kinda place! 

I enjoy that it's not aggressively bougie but still..."
9t3DWuROXOrvioDxG9R59A,The place was ok. I really feel the sushi was overpriced. Tea was 2$ and you have to ask for refills without a tea kettle at your table. Goemon sushi roll...
9t3DWuROXOrvioDxG9R59A,"Nice, cute little sushi spot but needs some work to bring me back. Ambiance outshined the food and service l.

We found ourselves here to celebrate a..."
LysKaLPCFOdsUnlJC48Trg,"From the moment you walk in, the space is very minimalistic & approachable. Once you walk into the main dining area your attention immediately goes to the..."
LysKaLPCFOdsUnlJC48Trg,"Chef Zimmerman, GM Rose Miramontes and staff, many from Alexander's Steakhouse, has created an ambitious, but perfectly executed Open-Fire multi-course..."
LysKaLPCFOdsUnlJC48Trg,"A magnificent achievement! Several other great reviews go into wonderful detail about how good the food is, and wow is it! While there isn't meat in every..."
Y96P7pYNYya_bP-Ogun-0w,"Such a great experience here, I'm surprised this place still isnt very well known! 

**long review coming up, so the sweet and short review is: Highly..."
Y96P7pYNYya_bP-Ogun-0w,"There's a nice handful of premier omakase restaurants in San Francisco, but very few Japanese kaiseki-style restaurants.  New York City has a vast amount of..."
Y96P7pYNYya_bP-Ogun-0w,OzaOza is quite simply the best Japanese fine-dining experience in SF.  I started my SF foodie journey at the end of 2016 and I was lucky enough to come...
